schema_version,benchmark_schema_version,formula_id,formula,family,source,parameters_json,tree_shape,categories_json,rationale,n_atoms,ast_nodes,distinct_subformulae,ast_depth,temporal_depth,dfa_states,dfa_guarded_transitions,construction,status,applicable,failure_reason,final_language_equivalent,prefix_sound,exact_online_equivalent,explored_product_states,certificate_formula,certificate_complete,certificate_product_states,bounded_horizon,bounded_islands,bounded_exact_head_states,progression_states,progression_roots,progression_closure,progression_input_subformulae,language_witness_json,prefix_witness_json,online_witness_json
rq1.v1,e0.v1,atomic_control,a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Propositional base case with no temporal recurrence.,1,1,1,0,0,3,4,original,characterized,True,,True,True,True,3,a,True,3,,,,,,,,,,
rq1.v1,e0.v1,atomic_control,a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Propositional base case with no temporal recurrence.,1,1,1,0,0,3,4,bounded_default,characterized,True,,True,True,True,3,a,True,3,0,0,3,,,,,,,
rq1.v1,e0.v1,atomic_control,a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Propositional base case with no temporal recurrence.,1,1,1,0,0,3,4,bounded_exact_online,characterized,True,,True,True,True,3,a,True,3,0,0,3,,,,,,,
rq1.v1,e0.v1,atomic_control,a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Propositional base case with no temporal recurrence.,1,1,1,0,0,3,4,progression,characterized,True,,True,True,True,3,,,,,,,3,2,2,1,,,
rq1.v1,e0.v1,nested_next_control,X X a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control"", ""bounded_repair_control""]",Nested Next is safe when its offsets have distinct subformula keys.,1,3,3,2,2,5,6,original,characterized,True,,True,True,True,5,X X a,True,5,,,,,,,,,,
rq1.v1,e0.v1,nested_next_control,X X a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control"", ""bounded_repair_control""]",Nested Next is safe when its offsets have distinct subformula keys.,1,3,3,2,2,5,6,bounded_default,characterized,True,,True,True,True,11,rr_bounded_event_0,True,3,2,1,11,,,,,,,
rq1.v1,e0.v1,nested_next_control,X X a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control"", ""bounded_repair_control""]",Nested Next is safe when its offsets have distinct subformula keys.,1,3,3,2,2,5,6,bounded_exact_online,characterized,True,,True,True,True,11,rr_bounded_event_0,True,3,2,1,11,,,,,,,
rq1.v1,e0.v1,nested_next_control,X X a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control"", ""bounded_repair_control""]",Nested Next is safe when its offsets have distinct subformula keys.,1,3,3,2,2,5,6,progression,characterized,True,,True,True,True,5,,,,,,,5,5,6,3,,,
rq1.v1,e0.v1,nested_eventually_control,F F a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Nested temporal syntax that collapses semantically without aliasing.,1,3,3,2,2,2,3,original,characterized,True,,True,True,True,2,F F a,True,2,,,,,,,,,,
rq1.v1,e0.v1,nested_eventually_control,F F a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Nested temporal syntax that collapses semantically without aliasing.,1,3,3,2,2,2,3,bounded_default,characterized,True,,True,True,True,3,F (F (a)),True,2,0,0,3,,,,,,,
rq1.v1,e0.v1,nested_eventually_control,F F a,repair_control,RQ1 repair-ladder corpus,{},canonical,"[""original_safe_control""]",Nested temporal syntax that collapses semantically without aliasing.,1,3,3,2,2,2,3,bounded_exact_online,characterized,True,,True,True,True,3,F (F (a)),True,2,0,0,3,,,,,,,
